ISO3,Country,NRT retail,NRT WHO,Varenicline retail,Varenicline WHO,Cytisine retail,Cytisine WHO,Bupropion retail,Bupropion WHO,At least one,Full set,All UNCERTAIN
AFG,Afghanistan,UNCERTAIN,No,UNCERTAIN,No,UNCERTAIN,No,UNCERTAIN,No,NO,NO,YES
AGO,Angola,AVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,,UNAVAILABLE,No,YES,NO,NO
ALB,Albania,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,,UNAVAILABLE,No,NO,NO,NO
AND,Andorra,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,,UNAVAILABLE,Yes,YES,NO,NO
ARE,United Arab Emirates,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,No,UNAVAILABLE,Yes,YES,NO,NO
ARG,Argentina,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,No,AVAILABLE,Yes,YES,NO,NO
ARM,Armenia,UNAVAILABLE,Yes,UNAVAILABLE,Yes,AVAILABLE,Yes,UNAVAILABLE,Yes,YES,NO,NO
ATG,Antigua and Barbuda,AVAILABLE,No,AVAILABLE,No,AVAILABLE,No,AVAILABLE,No,YES,YES,NO
AUS,Australia,AVAILABLE,Yes,AVAILABLE,Yes,UNAVAILABLE,No,AVAILABLE,Yes,YES,YES,NO
AUT,Austria,AVAILABLE,Yes,AVAILABLE,Yes,AVAILABLE,Yes,UNCERTAIN,No,YES,NO,NO
AZE,Azerbaijan,AVAILABLE,No,UNAVAILABLE,No,AVAILABLE,Yes,UNAVAILABLE,No,YES,NO,NO
BDI,Burundi,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,AVAILABLE,No,YES,NO,NO
BEL,Belgium,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,Yes,YES,NO,NO
BEN,Benin,AVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,YES,NO,NO
BFA,Burkina Faso,UNAVAILABLE,Yes,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,Yes,NO,NO,NO
BGD,Bangladesh,UNAVAILABLE,No,UNAVAILABLE,Yes,UNAVAILABLE,No,AVAILABLE,Yes,YES,NO,NO
BGR,Bulgaria,AVAILABLE,Yes,UNAVAILABLE,No,AVAILABLE,Yes,UNAVAILABLE,No,YES,NO,NO
BHR,Bahrain,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,No,UNAVAILABLE,Yes,YES,NO,NO
BHS,Bahamas,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,Yes,YES,NO,NO
BIH,Bosnia and Herzegovina,AVAILABLE,Yes,UNAVAILABLE,Yes,UNAVAILABLE,No,UNAVAILABLE,Yes,YES,NO,NO
BLR,Belarus,UNAVAILABLE,Yes,UNAVAILABLE,Yes,AVAILABLE,No,UNAVAILABLE,No,YES,NO,NO
BLZ,Belize,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,Yes,NO,NO,NO
BOL,Bolivia,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,AVAILABLE,No,YES,NO,NO
BRA,Brazil,AVAILABLE,Yes,AVAILABLE,No,UNAVAILABLE,No,AVAILABLE,Yes,YES,YES,NO
BRB,Barbados,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,UNAVAILABLE,No,NO,NO,NO
