ISO3,Country,NRT WHO sold,NRT dispensing,NRT reimbursement,Varenicline WHO sold,Varenicline dispensing,Varenicline reimbursement,Cytisine WHO sold,Cytisine dispensing,Cytisine reimbursement,Bupropion WHO sold,Bupropion dispensing,Bupropion reimbursement,NRT in WHO essential medicines list
AFG,Afghanistan,No,,,No,,,No,,,No,,,No
AGO,Angola,No,,,No,,,,,,No,,,
ALB,Albania,No,,,No,,,,,,No,,,No
AND,Andorra,Yes,OTC,No,Yes,Rx,No,,,,Yes,Rx,No,No
ARE,United Arab Emirates,Yes,OTC,Partially,Yes,Rx,Partially,No,,,Yes,Rx,No,No
ARG,Argentina,Yes,OTC,No,Yes,Rx,Partially,No,,,Yes,Rx,Partially,Yes
ARM,Armenia,Yes,OTC,Partially,Yes,Rx,No,Yes,OTC,No,Yes,Rx,No,Yes
ATG,Antigua and Barbuda,No,,,No,,,No,,,No,,,No
AUS,Australia,Yes,OTC,Partially,Yes,Rx,Partially,No,,,Yes,Rx,Partially,Yes
AUT,Austria,Yes,OTC,No,Yes,Rx,No,Yes,OTC,No,No,,,No
AZE,Azerbaijan,No,,,No,,,Yes,OTC,No,No,,,No
BDI,Burundi,No,,,No,,,No,,,No,,,No
BEL,Belgium,Yes,OTC,No,Yes,OTC,Partially,Yes,Rx,No,Yes,OTC,Partially,No
BEN,Benin,No,,,No,,,No,,,No,,,No
BFA,Burkina Faso,Yes,,No,No,,,No,,,Yes,,No,No
BGD,Bangladesh,No,,,Yes,Rx,No,No,,,Yes,Rx,No,No
BGR,Bulgaria,Yes,OTC,No,No,,,Yes,OTC,No,No,,,No
BHR,Bahrain,Yes,OTC,Yes,Yes,Rx,No,No,,,Yes,Rx,No,Yes
BHS,Bahamas,Yes,OTC,No,Yes,Rx,No,Yes,Rx,No,Yes,Rx,No,No
BIH,Bosnia and Herzegovina,Yes,OTC,No,Yes,Rx,No,No,,,Yes,Rx,No,No
BLR,Belarus,Yes,OTC,No,Yes,OTC,No,No,,,No,,,No
BLZ,Belize,No,,,No,,,No,,,Yes,Rx,No,No
BOL,Bolivia,No,,,No,,,No,,,No,,,No
BRA,Brazil,Yes,OTC,Yes,No,,,No,,,Yes,Rx,Yes,Yes
BRB,Barbados,No,,,No,,,No,,,No,,,Yes
